date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
11-May-19,35-44,Male,100,100,100,0,50,35,65,100,50,70,100,100,70,65,100,35,30,100,10,100,100,100,100,100,100,15,100,0,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Male,100,100,100,0,55,100,100,100,75,65,100,100,75,75,75,45,75,65,40,75,85,80,80,80,85,30,70,1,1,0,1,1,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,50,0,55,55,55,60,50,0,80,100,100,100,0,36,36,100,60,100,100,100,100,100,100,15,100,1,1,0,0,1,66,57,69,55,74,,,,
11-May-19,35-44,Male,100,100,50,0,50,60,60,100,100,50,90,100,90,90,50,45,50,50,35,90,90,70,70,100,100,40,80,1,1,0,1,1,66,57,69,55,74,,,,
11-May-19,35-44,Female,100,100,100,0,50,100,80,100,100,0,100,55,100,60,65,0,,,18,55,55,100,100,100,100,,100,0,,,,,66,57,69,55,74,,,,
11-May-19,65-74,Female,100,100,0,0,0,70,70,70,70,50,80,100,100,90,95,10,80,80,60,95,95,55,70,65,90,30,95,1,1,0,1,1,66,57,69,55,74,,,,
11-May-19,35-44,Male,100,100,100,0,50,,100,100,50,70,100,100,45,50,100,40,20,100,15,100,100,65,100,100,100,15,100,0,,,,,66,57,69,55,74,,,,
11-May-19,35-44,Female,100,100,100,0,100,65,55,100,80,0,100,55,100,80,65,15,100,90,15,100,100,100,100,100,100,40,100,0,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,50,0,0,50,100,100,55,0,100,75,100,100,50,40,85,95,35,100,100,80,100,85,85,25,75,0,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,0,0,50,100,100,100,50,0,100,100,100,100,50,30,50,50,30,100,100,50,100,100,100,50,100,1,1,0,1,1,66,57,69,55,74,,,,
11-May-19,35-44,Female,100,100,80,0,70,50,50,75,20,0,70,65,80,,65,0,,,20,35,40,35,60,75,95,,95,1,1,0,0,,66,57,69,55,74,,,,
11-May-19,45-54,Male,100,100,50,0,50,50,50,95,80,24,100,75,100,50,75,50,100,75,14,50,50,90,100,100,100,8,96,0,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,0,0,50,50,50,85,50,0,50,56,75,50,50,50,74,41,10,100,100,75,82,50,90,14,100,,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,50,0,50,52,50,75,56,100,60,63,70,85,75,13,58,87,25,75,70,83,96,96,100,0,100,,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Female,100,100,100,0,0,50,50,100,60,0,100,100,100,100,100,28,100,80,10,0,0,100,100,100,100,30,100,,,,,,66,57,69,55,74,,,,
11-May-19,45-54,Male,100,100,100,0,0,0,100,100,100,0,100,100,100,95,50,50,100,100,50,100,100,100,93,100,100,50,100,,,,,,66,57,69,55,74,,,,
11-Mar-19,35-44,Male,100,100,0,0,22,80,80,100,100,49,100,100,100,85,50,40,100,49,38,100,100,80,80,48,100,34,100,0,,,,,66,57,69,55,74,,,,
11-Mar-19,35-44,Female,100,100,100,0,100,50,50,50,50,50,50,50,50,50,50,30,40,0,0,50,50,45,50,50,50,50,100,0,0,0,0,0,66,57,69,55,74,,,,
11-Mar-19,45-54,Male,100,100,100,0,50,0,1,50,50,100,50,90,75,85,9,50,90,50,51,95,50,92,93,97,55,32,100,1,1,0,0,0,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,50,0,0,50,25,75,50,50,50,86,100,91,25,15,50,100,50,100,95,90,95,85,70,22,85,0,,,,,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,50,0,50,50,50,80,26,0,100,100,100,100,50,35,50,50,50,90,90,89,95,82,88,50,95,0,,,,,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,50,0,100,50,25,80,85,0,100,80,84,80,50,36,50,50,10,100,100,91,64,74,50,40,85,1,0,1,0,,66,57,69,55,74,,,,
11-Mar-19,65-74,Female,100,100,50,0,0,30,32,100,50,0,80,78,100,100,50,30,100,100,60,100,100,100,100,85,85,10,79,1,1,0,0,,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,0,0,50,50,65,100,7,0,85,85,91,50,60,40,65,63,13,100,100,81,81,41,39,10,100,1,0,1,0,,66,57,69,55,74,,,,
11-Mar-19,35-44,Female,100,100,100,0,100,0,100,100,100,,100,100,100,50,50,50,100,50,50,1,50,50,50,100,100,50,50,1,1,1,1,1,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,0,0,0,0,50,1,50,1,100,100,50,100,50,40,50,50,28,100,100,50,50,100,50,60,50,,0,,,,66,57,69,55,74,,,,
11-Mar-19,45-54,Female,100,100,50,0,0,45,36,100,50,0,51,100,100,100,50,50,50,50,50,50,50,50,50,100,100,0,100,1,1,0,0,1,66,57,69,55,74,,,,
