metric_name,metric_label,metric_type,direction,pillar_id,pillar_name,metric_sort_order
paid_working_hours,Paid working hours,derived_continuous,Higher=more hours,1,Economic,1
job_satisfaction,Job satisfaction,score,Higher=more positive,1,Economic,2
work_travel_time,Work travel time,derived_continuous,Higher=more travel time,1,Economic,3
basic_life_skills,Basic life skills,score,Higher=more positive,1,Economic,4
satisfaction_income,Income satisfaction,score,Higher=more positive,1,Economic,5
confident_in_finding_a_new_job,Confidence in finding a new job,score,Higher=more positive,1,Economic,6
access_to_natural_environment,Access to natural environment,score,Higher=more positive,2,Environment,7
confident_water_safety,Confidence in water safety,score,Higher=more positive,2,Environment,8
optimal_use_of_land,Optimal use of land,score,Higher=more positive,2,Environment,9
safety,Safety,score,Higher=more positive,3,Social,10
discrimination,Discrimination,score,Higher=more severe/problematic,3,Social,11
loneliness,Loneliness,score,Higher=more severe/problematic,3,Social,12
independence,Independence,score,Higher=more positive,3,Social,13
support_in_crisis,Support in crisis,score,Higher=more positive,3,Social,14
level_of_control,Level of control,score,Higher=more positive,3,Social,15
volunteering_time,Volunteering time,score,Higher=more volunteering,3,Social,16
work_life_balance,Work-life balance,score,Higher=more positive,3,Social,17
leisure_time,Leisure time,derived_continuous,Higher=more time,3,Social,18
be_yourself_in_nz,Be yourself in NZ,score,Higher=more positive,3,Social,19
be_yourself_in_newlands,Be yourself in Newlands,score,Higher=more positive,3,Social,20
life_satisfaction,Life satisfaction,score,Higher=more positive,3,Social,21
meaning_and_purpose,Meaning and purpose,score,Higher=more positive,3,Social,22
family_wellbeing,Family wellbeing,score,Higher=more positive,3,Social,23
personal_mental_health,Personal mental health,score,Higher=more positive,3,Social,24
language,Language,score,Higher=more positive,4,Cultural,25
belonging,Sense of belonging,score,Higher=more positive,4,Cultural,26
cultural_activities,Cultural activities,score,Higher=more positive,4,Cultural,27
te_reo,Te Reo,score,Higher=more positive,4,Cultural,28
cultural_knowledge,Cultural knowledge,score,Higher=more positive,4,Cultural,29
trust_nz_government,Trust in NZ government,score,Higher=more positive,5,Governance,30
trust_local_council,Trust in local council,score,Higher=more positive,5,Governance,31
trust_nz_police,Trust in NZ Police,score,Higher=more positive,5,Governance,32
vote_local_elections_2019,Voted in local elections 2019,binary,Higher=Yes,5,Governance,33
vote_general_election_2020,Voted in general election 2020,binary,Higher=Yes,5,Governance,34
voted_local_elections_2022,Voted in local elections 2022,binary,Higher=Yes,5,Governance,35
voted_general_elections_2023,Voted in general elections 2023,binary,Higher=Yes,5,Governance,36
home_disaster_ready,Home disaster ready,binary,Higher=Yes,6,Disaster,37
neighbourhood_support_group,Neighbourhood support group,binary,Higher=Yes,6,Disaster,38
out_of_newlands_during_day,Out of Newlands during day,binary,Higher=Yes,6,Disaster,39
place_out_of_newlands_disaster_ready,Place out of Newlands disaster ready,binary,Higher=Yes,6,Disaster,40
