response_id,date,year,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
1,11/05/2019,2019,45-54,Female,100,75,0,5,50,50,75,90,50,0,100,80,50,50,60,37,50,35,20,75,75,50,50,10,75,10,90,1,0,0,1,1,,,,,,,,,
2,11/05/2019,2019,35-44,Male,100,50,0,0,55,55,55,100,100,55,50,100,100,50,50,50,50,50,0,50,100,50,0,,50,50,100,1,1,0,1,1,,,,,,,,,
3,11/05/2019,2019,45-54,Male,100,100,100,0,55,100,100,100,75,65,100,100,75,75,75,45,75,65,40,75,85,80,80,80,85,30,70,1,1,0,1,1,,,,,,,,,
4,11/05/2019,2019,35-44,Female,95,65,80,10,75,50,55,80,75,65,45,55,65,60,50,40,60,55,40,45,50,50,55,60,80,30,35,1,0,0,1,1,,,,,,,,,
5,11/05/2019,2019,45-54,Female,100,100,50,0,55,55,55,60,50,0,80,100,100,100,0,36,36,100,60,100,100,100,100,100,100,15,100,1,1,0,0,1,,,,,,,,,
6,11/05/2019,2019,35-44,Male,100,100,50,0,50,60,60,100,100,50,90,100,90,90,50,45,50,50,35,90,90,70,70,100,100,40,80,1,1,0,1,1,,,,,,,,,
7,11/05/2019,2019,35-44,Female,100,50,0,0,0,20,20,70,60,0,100,80,10,70,20,40,40,50,50,100,0,80,50,99,100,30,100,0,1,0,,,,,,,,,,,
8,11/05/2019,2019,45-54,Female,100,100,100,25,100,55,60,100,25,0,100,70,100,70,100,40,100,100,15,100,100,100,100,70,100,,80,1,1,1,0,,,,,,,,,,
9,11/05/2019,2019,35-44,Male,100,100,100,70,100,75,70,70,80,0,65,65,100,80,55,40,50,45,60,85,80,95,95,95,95,25,95,1,1,1,1,1,,,,,,,,,
10,11/05/2019,2019,35-44,Female,65,75,50,10,50,50,50,75,75,25,100,75,100,75,50,35,75,25,25,75,90,90,75,60,75,15,75,1,1,0,1,1,,,,,,,,,
11,11/05/2019,2019,55-64,Female,100,100,50,5,70,75,75,90,90,10,90,85,50,75,20,50,80,35,15,90,90,70,70,70,95,30,95,1,0,0,1,,,,,,,,,,
12,11/05/2019,2019,65-74,Female,100,100,0,0,0,70,70,70,70,50,80,100,100,90,95,10,80,80,60,95,95,55,70,65,90,30,95,1,1,0,1,1,,,,,,,,,
13,11/05/2019,2019,35-44,Female,60,60,0,0,0,50,50,50,50,60,50,70,50,70,70,30,50,50,40,80,80,80,80,80,80,15,80,0,1,0,0,0,,,,,,,,,
14,11/05/2019,2019,45-54,Male,90,85,75,10,30,50,65,70,90,0,90,65,50,70,70,35,30,75,30,90,85,50,50,70,70,30,95,1,0,0,1,1,,,,,,,,,
15,11/05/2019,2019,45-54,Male,100,100,70,20,45,45,60,80,90,0,100,95,85,95,25,30,75,70,30,90,75,80,80,75,80,30,80,1,,0,1,1,,,,,,,,,
16,11/05/2019,2019,35-44,Male,30,30,5,10,10,45,40,95,80,40,50,55,50,50,50,45,45,45,45,40,50,50,50,60,50,50,25,0,0,0,0,0,,,,,,,,,
17,11/05/2019,2019,35-44,Female,100,75,0,15,50,50,45,80,50,70,95,100,100,80,10,15,75,85,60,75,75,70,85,90,90,15,95,1,0,0,1,0,,,,,,,,,
18,11/05/2019,2019,25-34,Female,100,50,50,50,50,60,55,100,55,0,50,50,100,100,50,50,50,,30,45,45,55,60,75,75,35,75,1,1,1,1,1,,,,,,,,,
19,11/05/2019,2019,35-44,Male,95,90,25,0,50,80,85,85,75,50,50,65,50,50,50,40,50,50,50,50,50,50,80,70,45,25,80,1,0,0,0,0,,,,,,,,,
20,11/05/2019,2019,25-34,Male,100,50,0,0,90,10,35,55,100,60,0,95,50,50,0,45,65,35,15,100,95,35,40,20,30,30,95,1,0,0,0,0,,,,,,,,,
21,11/05/2019,2019,35-44,Male,100,80,80,40,80,70,75,100,100,80,75,100,100,80,85,60,65,40,25,75,90,100,100,100,100,20,90,1,1,1,1,1,,,,,,,,,
22,11/05/2019,2019,45-54,Female,100,100,0,0,50,100,100,100,50,0,100,100,100,100,50,30,50,50,30,100,100,50,100,100,100,50,100,1,1,0,1,1,,,,,,,,,
23,11/05/2019,2019,35-44,Male,100,100,50,15,100,65,60,100,80,0,100,80,100,95,85,40,100,100,40,100,100,100,90,100,100,10,100,1,1,1,1,1,,,,,,,,,
24,11/05/2019,2019,35-44,Female,95,95,55,10,10,95,95,95,55,10,90,95,65,95,50,10,,95,50,95,95,95,95,100,55,,35,1,1,1,1,1,,,,,,,,,
25,11/05/2019,2019,18-24,Female,100,100,50,50,50,50,50,75,55,55,85,90,70,80,70,50,15,50,45,95,95,65,55,100,75,35,85,1,0,0,0,0,,,,,,,,,
26,11/05/2019,2019,45-54,Female,50,80,60,10,70,50,30,75,25,0,40,90,60,70,20,40,75,85,40,80,80,75,60,75,95,50,95,1,0,0,1,1,,,,,,,,,
27,11/05/2019,2019,45-54,Female,95,70,65,10,10,50,60,80,40,15,90,80,95,80,50,25,90,90,50,90,90,80,80,85,85,20,90,1,1,1,0,,,,,,,,,,
28,11/05/2019,2019,45-54,Male,100,95,100,1,91,61,61,89,87,31,89,100,71,100,85,60,95,93,43,37,63,65,93,90,65,45,100,1,1,0,1,1,,,,,,,,,
29,11/05/2019,2019,35-44,Male,95,95,95,45,95,65,65,80,80,0,85,95,95,90,50,50,90,80,30,90,90,90,85,85,85,25,90,1,1,0,1,1,,,,,,,,,
30,11/03/2019,2019,45-54,Female,100,100,49,38,100,70,70,49,50,50,100,100,100,100,90,40,100,100,40,50,50,100,100,95,100,30,95,1,0,0,1,1,,,,,,,,,
31,11/03/2019,2019,35-44,Female,100,100,100,1,0,100,100,100,50,0,100,100,50,100,100,50,50,50,49,50,50,50,51,100,100,20,50,1,1,1,0,0,,,,,,,,,
32,11/03/2019,2019,45-54,Female,100,100,100,10,100,15,50,78,8,8,96,93,100,60,91,30,78,21,8,96,96,96,100,100,100,4,96,1,0,0,0,,,,,,,,,,
33,11/03/2019,2019,35-44,Male,90,90,90,10,0,56,56,85,85,4,90,70,90,89,10,40,90,50,10,80,80,75,85,85,100,25,98,1,0,0,0,0,,,,,,,,,
34,11/03/2019,2019,35-44,Female,100,100,100,0,100,50,50,50,50,50,50,50,50,50,50,30,40,0,0,50,50,45,50,50,50,50,100,0,0,0,0,0,,,,,,,,,
35,11/03/2019,2019,45-54,Male,100,100,100,0,50,0,1,50,50,100,50,90,75,85,9,50,90,50,51,95,50,92,93,97,55,32,100,1,1,0,0,0,,,,,,,,,
36,11/03/2019,2019,35-44,Female,0,50,1,0,0,0,0,60,0,100,50,0,50,50,50,12,16,17,1,50,50,50,50,73,50,50,100,1,1,0,0,,,,,,,,,,
37,11/03/2019,2019,45-54,Female,100,100,50,0,100,50,25,80,85,0,100,80,84,80,50,36,50,50,10,100,100,91,64,74,50,40,85,1,0,1,0,,,,,,,,,,
38,11/03/2019,2019,65-74,Female,100,100,50,0,0,30,32,100,50,0,80,78,100,100,50,30,100,100,60,100,100,100,100,85,85,10,79,1,1,0,0,,,,,,,,,,
39,11/03/2019,2019,35-44,Female,50,94,0,0,0,50,50,100,0,0,50,,100,100,50,25,50,50,11,50,50,50,50,100,50,22,50,1,1,0,1,1,,,,,,,,,
40,11/03/2019,2019,35-44,Female,100,95,85,7,40,50,50,92,89,6,100,100,90,88,56,5,50,50,50,75,75,95,91,100,87,4,80,1,1,1,1,1,,,,,,,,,
41,11/03/2019,2019,45-54,Female,100,100,0,0,50,50,65,100,7,0,85,85,91,50,60,40,65,63,13,100,100,81,81,41,39,10,100,1,0,1,0,,,,,,,,,,
42,11/03/2019,2019,35-44,Female,50,90,100,50,50,50,100,100,50,0,100,50,50,50,70,50,50,50,50,100,50,50,51,80,50,30,50,0,0,0,0,0,,,,,,,,,
43,11/03/2019,2019,35-44,Female,100,100,50,25,100,50,55,100,75,0,100,100,100,100,50,50,100,100,50,100,100,100,100,75,100,15,60,1,1,0,0,1,,,,,,,,,
44,11/03/2019,2019,35-44,Female,100,100,100,0,100,0,100,100,100,,100,100,100,50,50,50,100,50,50,1,50,50,50,100,100,50,50,1,1,1,1,1,,,,,,,,,
45,11/03/2019,2019,45-54,Female,100,77,50,0,50,50,50,51,59,50,100,86,100,91,5,10,81,50,60,100,100,86,87,88,100,21,93,1,0,0,0,1,,,,,,,,,
46,11/03/2019,2019,45-54,Female,100,100,50,0,0,45,36,100,50,0,51,100,100,100,50,50,50,50,50,50,50,50,50,100,100,0,100,1,1,0,0,1,,,,,,,,,
47,11/03/2019,2019,45-54,Female,100,50,,5,50,15,15,50,65,5,60,80,69,65,60,10,75,30,55,40,45,50,50,60,65,15,85,0,1,1,0,,,,,,,,,,
48,11/03/2019,2019,45-54,Female,100,50,50,0,50,55,30,100,100,0,100,100,100,100,0,50,100,100,7,100,100,100,100,100,100,0,100,1,1,0,0,1,,,,,,,,,
49,11/03/2019,2019,25-34,Female,100,100,95,50,0,60,60,60,60,49,70,70,80,80,80,31,95,75,15,100,90,90,90,70,100,45,89,1,,0,0,,,,,,,,,,
