column,field_type,analysis_role,row_count,missing_count,missing_pct,unique_count,min_value,max_value,sample_values
date,date,time,831,0,0.00,121,01/10/2021,31/10/2022,11/05/2019 | 11/03/2019 | 11/02/2019 | 11/01/2019 | 29/10/2019
age_range,ordered_categorical,demographic,831,0,0.00,9,15-18,85+,35-44 | 45-54 | 55-64 | 65-74 | 25-34
gender,categorical,demographic,831,0,0.00,4,Do not wish to state,Non binary,Male | Female | Do not wish to state | Non binary
language,integer,score,831,1,0.12,54,0,100,100 | 95 | 0 | 65 | 60
belonging,integer,score,831,1,0.12,61,0,100,100 | 75 | 50 | 85 | 95
cultural_activities,integer,score,831,15,1.81,80,0,100,100 | 0 | 75 | 85 | 50
te_reo,integer,score,831,10,1.20,62,0,100,0 | 5 | 15 | 70 | 10
cultural_knowledge,integer,score,831,10,1.20,91,0,100,50 | 55 | 65 | 15 | 0
trust_nz_government,integer,score,831,12,1.44,88,0,100,35 | 50 | 55 | 80 | 60
trust_local_council,integer,score,831,19,2.29,94,0,100,65 | 75 | 55 | 80 | 100
trust_nz_police,integer,score,831,11,1.32,80,0,100,100 | 90 | 75 | 80 | 55
safety,integer,score,831,8,0.96,87,0,100,50 | 100 | 75 | 40 | 70
discrimination,integer,score,831,20,2.41,76,0,100,70 | 0 | 55 | 75 | 65
loneliness,integer,score,831,23,2.77,82,0,100,100 | 50 | 90 | 0 | 45
independence,integer,score,831,22,2.65,69,0,100,100 | 80 | 90 | 75 | 55
support_in_crisis,integer,score,831,23,2.77,74,0,100,70 | 50 | 100 | 90 | 75
level_of_control,integer,score,831,23,2.77,68,0,100,65 | 50 | 85 | 75 | 60
volunteering_time,integer,score,831,22,2.65,94,0,100,100 | 60 | 50 | 55 | 85
paid_working_hours,integer,derived_continuous,831,27,3.25,55,0,60,35 | 37 | 50 | 30 | 55
job_satisfaction,integer,score,831,107,12.88,79,0,100,30 | 50 | 35 | 75 | 55
work_life_balance,integer,score,831,73,8.78,87,0,100,100 | 35 | 50 | 30 | 65
leisure_time,integer,derived_continuous,831,34,4.09,57,0,60,10 | 20 | 0 | 15 | 30
be_yourself_in_nz,integer,score,831,34,4.09,77,0,100,100 | 75 | 50 | 65 | 45
be_yourself_in_newlands,integer,score,831,39,4.69,72,0,100,100 | 75 | 55 | 85 | 65
life_satisfaction,integer,score,831,34,4.09,76,0,100,100 | 50 | 55 | 80 | 70
meaning_and_purpose,integer,score,831,192,23.10,76,0,100,100 | 50 | 0 | 90 | 80
family_wellbeing,integer,score,831,39,4.69,71,0,100,100 | 10 | 65 | 80 | 60
access_to_natural_environment,integer,score,831,37,4.45,74,0,100,100 | 75 | 50 | 85 | 70
work_travel_time,integer,derived_continuous,831,73,8.78,55,0,60,15 | 10 | 50 | 40 | 30
basic_life_skills,integer,score,831,34,4.09,58,0,100,100 | 90 | 80 | 70 | 35
newlands_resident,integer,binary,831,139,16.73,2,0,1,0 | 1
home_disaster_ready,integer,binary,831,200,24.07,2,0,1,0 | 1
neighbourhood_support_group,integer,binary,831,231,27.80,2,0,1,0 | 1
out_of_newlands_during_day,integer,binary,831,260,31.29,2,0,1,1 | 0
place_out_of_newlands_disaster_ready,integer,binary,831,396,47.65,2,0,1,1 | 0
satisfaction_income,integer,score,831,483,58.12,56,0,100,50 | 57 | 86 | 90 | 80
confident_in_finding_a_new_job,integer,score,831,451,54.27,60,0,100,75 | 28 | 91 | 50 | 99
confident_water_safety,integer,score,831,442,53.19,66,0,100,60 | 100 | 24 | 80 | 30
optimal_use_of_land,integer,score,831,441,53.07,59,0,100,25 | 47 | 32 | 80 | 30
personal_mental_health,integer,score,831,596,71.72,57,10,100,90 | 64 | 75 | 80 | 66
vote_local_elections_2019,integer,binary,831,751,90.37,2,0,1,1 | 0
vote_general_election_2020,integer,binary,831,751,90.37,2,0,1,1 | 0
voted_local_elections_2022,integer,binary,831,573,68.95,2,0,1,1 | 0
voted_general_elections_2023,integer,binary,831,574,69.07,2,0,1,1 | 0
