Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,voted 2020 General Election?,10. Trust local council,voted 2019 Local Elections?,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,38. Satisfaction income,39. Confident in finding a new job,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,40. Personal mental health,27. Family Wellbeing,28. Access to Natural Environment,41. Confident water safety,42. Optimal use of land,29. Work Travel Time,30. Basic Life Skills,43. Location,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready
2021-11-18 08:14:SS,6037,45-54,Female,99,84,75,29,50,13,Yes,13,Yes,100,90,,90,100,90,90,100,15,80,50,75,100,60,100,100,90,80,90,80,100,60,25,15,85,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
2021-11-15 16:28:SS,6037,45-54,Female,100,100,100,0,100,80,Yes,80,Yes,85,80,0,52,80,100,90,84,25,56,57,28,22,5,80,86,83,84,64,96,100,100,47,30,100,Johnsonville,No,Yes,No,No
2021-11-15 09:29:SS,6037,25-34,Female,100,100,91,31,56,84,Yes,68,Yes,94,86,20,98,82,71,92,76,50,100,86,91,57,16,91,84,88,90,75,83,89,24,32,6,100,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
2021-11-15 09:19:SS,6037,55-64,Female,99,90,0,2,,50,Yes,50,Yes,90,,,90,99,90,80,80,14,100,90,50,90,60,90,100,90,100,80,50,100,80,80,10,90,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
2021-11-14 07:47:SS,6037,25-34,Male,100,100,0,10,50,80,Yes,60,Yes,45,90,0,50,80,64,75,13,42,80,80,99,63,55,80,80,70,63,66,80,50,30,30,30,100,Johnsonville,Yes,No,Yes,Yes
2021-11-14 01:53:SS,6037,35-44,Female,100,100,0,0,50,80,Yes,50,Yes,30,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-13 15:08:SS,6037,45-54,Female,100,63,0,1,1,25,Yes,17,Yes,7,50,0,1,96,15,85,31,40,82,82,39,41,51,70,69,68,20,50,68,89,71,40,30,92,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,No
2021-11-12 18:45:SS,6037,55-64,Male,100,90,35,0,50,45,Yes,45,Yes,95,75,0,80,100,70,90,35,1,,,0,50,20,75,80,85,90,95,50,50,50,65,,90,"Newlands, Paparangi, Bellevue or Woodridge",No,No,No,
2021-11-12 10:28:SS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-11 20:21:SS,6037,55-64,Female,100,93,71,7,58,,Yes,,Yes,73,97,10,60,57,89,87,57,19,12,,30,14,,54,54,40,86,82,73,88,84,52,18,55,"Newlands, Paparangi, Bellevue or Woodridge",No,,,
2021-11-11 08:56:SS,6038,45-54,Male,100,100,0,26,100,50,Yes,30,Yes,90,95,0,90,85,100,80,100,50,90,90,90,75,35,100,100,70,70,60,85,85,20,20,30,95,Johnsonville,Yes,No,No,
2021-11-11 00:01:SS,6037,35-44,Female,100,100,,37,51,72,Yes,67,Yes,86,70,,75,100,100,75,68,,,,54,81,51,100,100,87,100,74,82,67,100,61,,66,,,,,
2021-11-10 19:40:SS,6037,25-34,Female,100,100,1,25,49,39,Yes,42,Yes,100,46,1,70,78,65,85,3,15,95,40,82,100,52,99,100,92,85,79,87,86,100,80,10,61,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,
2021-11-10 10:21:SS,6037,35-44,Female,100,100,75,1,7,80,Yes,60,Yes,70,80,50,91,60,80,70,50,27,80,80,90,50,5,50,70,50,50,70,50,50,70,60,35,80,Johnsonville,No,No,Yes,No
2021-11-10 10:29:SS,6037,45-54,Female,24,100,0,20,100,47,Yes,32,No,70,65,23,87,62,72,50,30,40,50,55,40,60,30,67,85,49,36,55,70,80,39,32,29,84,"Newlands, Paparangi, Bellevue or Woodridge",Yes,Yes,Yes,Yes
2021-11-10 09:24:SS,6037,35-44,Do not wish to state,100,100,53,30,100,80,Yes,60,Yes,95,90,30,80,100,100,100,50,40,80,80,80,75,30,80,90,100,85,90,90,100,90,80,30,80,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,Yes,Yes
2021-11-09 22:31:SS,6037,45-54,Do not wish to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09 21:41:SS,6037,35-44,Female,100,61,78,3,51,14,Yes,10,No,73,25,80,50,82,49,69,9,50,60,96,72,51,8,31,42,51,65,54,56,51,76,55,15,87,Johnsonville,Yes,No,Yes,Yes
2021-11-09 20:24:SS,6038,45-54,Male,100,100,0,24,100,50,Yes,50,Yes,83,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09 19:15:SS,,35-44,Female,100,80,,5,100,,,,,50,25,65,90,50,100,85,15,40,90,40,50,85,15,60,90,70,100,85,85,90,45,50,25,100,,,,,
2021-11-09 13:23:SS,6037,65-74,Male,100,79,0,0,50,62,Yes,25,No,92,91,0,78,91,83,85,7,0,0,0,75,99,100,74,77,85,100,100,81,100,58,47,0,92,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
2021-11-08 17:11:SS,6037,35-44,Female,100,100,1,20,49,90,Yes,80,Yes,90,90,0,100,100,90,90,60,10,85,50,100,99,50,95,100,100,90,100,100,70,50,35,5,85,Johnsonville,Yes,No,No,Yes
2021-11-08 11:08:SS,6057,65-74,Female,89,100,0,0,2,80,Yes,66,Yes,84,18,0,32,79,52,58,0,0,0,0,0,0,93,51,56,48,55,62,66,38,0,65,0,66,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
2021-11-08 07:54:SS,6037,35-44,Female,95,100,95,8,97,100,Yes,96,No,93,53,51,51,89,76,54,93,39,93,95,49,50,21,44,51,51,50,51,50,94,68,65,6,83,"Newlands, Paparangi, Bellevue or Woodridge",No,Yes,No,Yes
2021-11-07 22:24:SS,6037,35-44,Female,100,100,49,29,50,87,Yes,41,Yes,69,78,50,98,79,87,85,72,42,29,65,94,75,11,93,93,81,80,85,87,93,70,66,33,98,"Newlands, Paparangi, Bellevue or Woodridge",No,No,Yes,No
2021-11-07 20:35:SS,6037,35-44,Male,100,90,25,5,40,60,Yes,50,Yes,80,50,0,80,80,90,80,50,40,75,50,90,50,30,85,85,75,100,90,50,75,60,40,20,100,"Newlands, Paparangi, Bellevue or Woodridge",Yes,Yes,Yes,Yes
2021-11-07 16:22:SS,6037,55-64,Female,100,100,79,41,62,81,Yes,60,No,82,42,30,100,88,100,91,58,36,80,62,74,83,49,84,87,88,100,75,68,75,39,31,5,89,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,Yes
