variable,pillar_id,pillar_name,type,missing_pct,valid_n,high_missing
satisfaction_income,1,Economic,scale,73.86,275,True
confident_in_finding_a_new_job,1,Economic,scale,71.29,302,True
job_satisfaction,1,Economic,scale,11.22,934,False
work_travel_time,1,Economic,time_minutes,7.98,968,False
basic_life_skills,1,Economic,scale,3.52,1015,False
paid_working_hours,1,Economic,time_hours,2.66,1024,False
confident_water_safety,2,Environment,scale,70.44,311,True
optimal_use_of_land,2,Environment,scale,70.34,312,True
access_to_natural_environment,2,Environment,scale,3.99,1010,False
personal_mental_health,3,Social,scale,85.08,157,True
neighbourhood_support_group,3,Social,binary,34.89,685,False
meaning_and_purpose,3,Social,scale,18.92,853,False
work_life_balance,3,Social,scale,8.08,967,False
be_yourself_in_newlands,3,Social,scale,4.56,1004,False
family_wellbeing,3,Social,scale,4.56,1004,False
be_yourself_in_nz,3,Social,scale,3.61,1014,False
life_satisfaction,3,Social,scale,3.61,1014,False
leisure_time,3,Social,time_minutes,3.42,1016,False
independence,3,Social,scale,2.57,1025,False
level_of_control,3,Social,scale,2.47,1026,False
loneliness,3,Social,scale,2.28,1028,False
support_in_crisis,3,Social,scale,2.28,1028,False
volunteering_time,3,Social,scale,2.19,1029,False
discrimination,3,Social,scale,1.52,1036,False
safety,3,Social,scale,0.95,1042,False
cultural_activities,4,Cultural,scale,1.24,1039,False
te_reo,4,Cultural,scale,1.14,1040,False
cultural_knowledge,4,Cultural,scale,1.05,1041,False
language,4,Cultural,scale,0.19,1050,False
belonging,4,Cultural,scale,0.0,1052,False
vote_local_elections_2019,5,Governance,binary,94.2,61,True
vote_general_election_2020,5,Governance,binary,94.11,62,True
voted_general_elections_2023,5,Governance,binary,75.57,257,True
voted_local_elections_2022,5,Governance,binary,75.48,258,True
trust_local_council,5,Governance,scale,2.28,1028,False
trust_nz_police,5,Governance,scale,1.62,1035,False
trust_nz_government,5,Governance,scale,1.52,1036,False
place_out_of_newlands_disaster_ready,6,Disaster,binary,53.33,491,False
out_of_newlands_during_day,6,Disaster,binary,38.69,645,False
home_disaster_ready,6,Disaster,binary,31.56,720,False
newlands_resident,6,Disaster,binary,8.75,960,False
