pillar_id,pillar_name,metric_name,metric_label,metric_type,direction,row_count,valid_n,missing_count,missing_pct,mean,median,std,min,max
1,Economic,paid_working_hours,Paid working hours,derived_continuous,Higher=more hours,1055,1027,28,2.65,33.0,35.0,16.26,0.0,60.0
1,Economic,job_satisfaction,Job satisfaction,score,Higher=more positive,1055,937,118,11.18,68.06,70.0,24.22,0.0,100.0
1,Economic,work_travel_time,Work travel time,derived_continuous,Higher=more travel time,1055,969,86,8.15,26.22,25.0,14.84,0.0,60.0
1,Economic,basic_life_skills,Basic life skills,score,Higher=more positive,1055,1018,37,3.51,83.73,90.0,16.6,0.0,100.0
1,Economic,satisfaction_income,Income satisfaction,score,Higher=more positive,1055,276,779,73.84,65.55,70.0,24.72,0.0,100.0
1,Economic,confident_in_finding_a_new_job,Confidence in finding a new job,score,Higher=more positive,1055,303,752,71.28,57.22,60.0,25.83,0.0,100.0
2,Environment,access_to_natural_environment,Access to natural environment,score,Higher=more positive,1055,1013,42,3.98,79.28,83.0,20.21,0.0,100.0
2,Environment,confident_water_safety,Confidence in water safety,score,Higher=more positive,1055,312,743,70.43,68.68,70.0,22.18,0.0,100.0
2,Environment,optimal_use_of_land,Optimal use of land,score,Higher=more positive,1055,313,742,70.33,55.1,60.0,21.2,0.0,100.0
3,Social,safety,Safety,score,Higher=more positive,1055,1045,10,0.95,65.68,70.0,25.52,0.0,100.0
3,Social,discrimination,Discrimination,score,Higher=more severe/problematic,1055,1039,16,1.52,22.77,5.0,28.55,0.0,100.0
3,Social,loneliness,Loneliness,score,Higher=more severe/problematic,1055,1031,24,2.27,62.5,70.0,35.39,0.0,100.0
3,Social,independence,Independence,score,Higher=more positive,1055,1028,27,2.56,83.05,90.0,20.63,0.0,100.0
3,Social,support_in_crisis,Support in crisis,score,Higher=more positive,1055,1031,24,2.27,78.45,82.0,21.19,0.0,100.0
3,Social,level_of_control,Level of control,score,Higher=more positive,1055,1029,26,2.46,77.44,80.0,19.42,0.0,100.0
3,Social,volunteering_time,Volunteering time,score,Higher=more volunteering,1055,1032,23,2.18,53.25,50.0,31.58,0.0,100.0
3,Social,work_life_balance,Work-life balance,score,Higher=more positive,1055,970,85,8.06,62.48,60.0,24.75,0.0,100.0
3,Social,leisure_time,Leisure time,derived_continuous,Higher=more time,1055,1019,36,3.41,31.17,25.0,17.11,0.0,60.0
3,Social,be_yourself_in_nz,Be yourself in NZ,score,Higher=more positive,1055,1017,38,3.6,78.79,86.0,22.59,0.0,100.0
3,Social,be_yourself_in_newlands,Be yourself in Newlands,score,Higher=more positive,1055,1007,48,4.55,78.53,85.0,21.51,0.0,100.0
3,Social,life_satisfaction,Life satisfaction,score,Higher=more positive,1055,1017,38,3.6,72.69,79.0,19.74,0.0,100.0
3,Social,meaning_and_purpose,Meaning and purpose,score,Higher=more positive,1055,856,199,18.86,76.15,80.0,20.78,0.0,100.0
3,Social,family_wellbeing,Family wellbeing,score,Higher=more positive,1055,1007,48,4.55,75.8,80.0,20.23,0.0,100.0
3,Social,personal_mental_health,Personal mental health,score,Higher=more positive,1055,158,897,85.02,73.63,80.0,17.93,18.0,100.0
4,Cultural,language,Language,score,Higher=more positive,1055,1053,2,0.19,88.44,100.0,24.68,0.0,100.0
4,Cultural,belonging,Sense of belonging,score,Higher=more positive,1055,1055,0,0.0,87.54,97.0,17.6,0.0,100.0
4,Cultural,cultural_activities,Cultural activities,score,Higher=more positive,1055,1042,13,1.23,37.39,40.0,34.75,0.0,100.0
4,Cultural,te_reo,Te Reo,score,Higher=more positive,1055,1043,12,1.14,13.05,1.0,20.1,0.0,100.0
4,Cultural,cultural_knowledge,Cultural knowledge,score,Higher=more positive,1055,1044,11,1.04,43.8,50.0,31.48,0.0,100.0
5,Governance,trust_nz_government,Trust in NZ government,score,Higher=more positive,1055,1039,16,1.52,52.19,50.0,24.7,0.0,100.0
5,Governance,trust_local_council,Trust in local council,score,Higher=more positive,1055,1031,24,2.27,53.44,50.0,23.31,0.0,100.0
5,Governance,trust_nz_police,Trust in NZ Police,score,Higher=more positive,1055,1038,17,1.61,77.63,80.0,21.47,0.0,100.0
5,Governance,vote_local_elections_2019,Voted in local elections 2019,binary,Higher=Yes,1055,61,994,94.22,0.87,1.0,0.34,0.0,1.0
5,Governance,vote_general_election_2020,Voted in general election 2020,binary,Higher=Yes,1055,62,993,94.12,0.9,1.0,0.3,0.0,1.0
5,Governance,voted_local_elections_2022,Voted in local elections 2022,binary,Higher=Yes,1055,259,796,75.45,0.86,1.0,0.35,0.0,1.0
5,Governance,voted_general_elections_2023,Voted in general elections 2023,binary,Higher=Yes,1055,258,797,75.55,0.94,1.0,0.23,0.0,1.0
6,Disaster,home_disaster_ready,Home disaster ready,binary,Higher=Yes,1055,723,332,31.47,0.54,1.0,0.5,0.0,1.0
6,Disaster,neighbourhood_support_group,Neighbourhood support group,binary,Higher=Yes,1055,688,367,34.79,0.16,0.0,0.37,0.0,1.0
6,Disaster,out_of_newlands_during_day,Out of Newlands during day,binary,Higher=Yes,1055,648,407,38.58,0.52,1.0,0.5,0.0,1.0
6,Disaster,place_out_of_newlands_disaster_ready,Place out of Newlands disaster ready,binary,Higher=Yes,1055,491,564,53.46,0.66,1.0,0.47,0.0,1.0
