pillar_id,pillar_name,metric_name,metric_label,metric_type,direction,avg_abs_spearman_within_pillar,max_abs_spearman_within_pillar,strongest_partner,strongest_partner_spearman,strong_or_moderate_relationship_count
1,Economic,paid_working_hours,Paid working hours,derived_continuous,Higher=more hours,0.1623,0.2186,confident_in_finding_a_new_job,0.2186,0
1,Economic,job_satisfaction,Job satisfaction,score,Higher=more positive,0.2574,0.4632,satisfaction_income,0.4632,2
1,Economic,work_travel_time,Work travel time,derived_continuous,Higher=more travel time,0.0745,0.1694,paid_working_hours,0.1694,0
1,Economic,basic_life_skills,Basic life skills,score,Higher=more positive,0.1356,0.2237,satisfaction_income,0.2237,0
1,Economic,satisfaction_income,Income satisfaction,score,Higher=more positive,0.2636,0.4632,job_satisfaction,0.4632,1
1,Economic,confident_in_finding_a_new_job,Confidence in finding a new job,score,Higher=more positive,0.2442,0.4327,job_satisfaction,0.4327,1
2,Environment,access_to_natural_environment,Access to natural environment,score,Higher=more positive,0.3842,0.4067,confident_water_safety,0.4067,1
2,Environment,confident_water_safety,Confidence in water safety,score,Higher=more positive,0.4635,0.5203,optimal_use_of_land,0.5203,2
2,Environment,optimal_use_of_land,Optimal use of land,score,Higher=more positive,0.441,0.5203,confident_water_safety,0.5203,1
3,Social,safety,Safety,score,Higher=more positive,0.1186,0.2033,be_yourself_in_newlands,0.2033,0
3,Social,discrimination,Discrimination,score,Higher=more severe/problematic,0.1551,0.3162,be_yourself_in_nz,-0.3162,0
3,Social,loneliness,Loneliness,score,Higher=more severe/problematic,0.1054,0.2463,meaning_and_purpose,0.2463,0
3,Social,independence,Independence,score,Higher=more positive,0.2003,0.4842,level_of_control,0.4842,1
3,Social,support_in_crisis,Support in crisis,score,Higher=more positive,0.2476,0.4418,level_of_control,0.4418,1
3,Social,level_of_control,Level of control,score,Higher=more positive,0.3416,0.5734,personal_mental_health,0.5734,7
3,Social,volunteering_time,Volunteering time,score,Higher=more volunteering,0.1049,0.1864,loneliness,0.1864,0
3,Social,work_life_balance,Work-life balance,score,Higher=more positive,0.2853,0.5302,personal_mental_health,0.5302,4
3,Social,leisure_time,Leisure time,derived_continuous,Higher=more time,0.1451,0.2526,work_life_balance,0.2526,0
3,Social,be_yourself_in_nz,Be yourself in NZ,score,Higher=more positive,0.306,0.8293,be_yourself_in_newlands,0.8293,3
3,Social,be_yourself_in_newlands,Be yourself in Newlands,score,Higher=more positive,0.3173,0.8293,be_yourself_in_nz,0.8293,3
3,Social,life_satisfaction,Life satisfaction,score,Higher=more positive,0.3508,0.7326,personal_mental_health,0.7326,7
3,Social,meaning_and_purpose,Meaning and purpose,score,Higher=more positive,0.3367,0.707,life_satisfaction,0.707,7
3,Social,family_wellbeing,Family wellbeing,score,Higher=more positive,0.2847,0.5028,personal_mental_health,0.5028,4
3,Social,personal_mental_health,Personal mental health,score,Higher=more positive,0.3478,0.7326,life_satisfaction,0.7326,5
4,Cultural,language,Language,score,Higher=more positive,0.0917,0.1423,belonging,0.1423,0
4,Cultural,belonging,Sense of belonging,score,Higher=more positive,0.1142,0.151,cultural_activities,0.151,0
4,Cultural,cultural_activities,Cultural activities,score,Higher=more positive,0.2498,0.4415,cultural_knowledge,0.4415,1
4,Cultural,te_reo,Te Reo,score,Higher=more positive,0.1892,0.3084,cultural_activities,0.3084,0
4,Cultural,cultural_knowledge,Cultural knowledge,score,Higher=more positive,0.223,0.4415,cultural_activities,0.4415,1
5,Governance,trust_nz_government,Trust in NZ government,score,Higher=more positive,0.1997,0.6177,trust_local_council,0.6177,1
5,Governance,trust_local_council,Trust in local council,score,Higher=more positive,0.2405,0.6177,trust_nz_government,0.6177,1
5,Governance,trust_nz_police,Trust in NZ Police,score,Higher=more positive,0.1189,0.32,trust_nz_government,0.32,0
5,Governance,vote_local_elections_2019,Voted in local elections 2019,binary,Higher=Yes,0.3026,0.8849,vote_general_election_2020,0.8849,1
5,Governance,vote_general_election_2020,Voted in general election 2020,binary,Higher=Yes,0.344,0.8849,vote_local_elections_2019,0.8849,1
5,Governance,voted_local_elections_2022,Voted in local elections 2022,binary,Higher=Yes,0.1338,0.4543,voted_general_elections_2023,0.4543,1
5,Governance,voted_general_elections_2023,Voted in general elections 2023,binary,Higher=Yes,0.137,0.4543,voted_local_elections_2022,0.4543,1
6,Disaster,home_disaster_ready,Home disaster ready,binary,Higher=Yes,0.181,0.2955,place_out_of_newlands_disaster_ready,0.2955,0
6,Disaster,neighbourhood_support_group,Neighbourhood support group,binary,Higher=Yes,0.1376,0.2069,home_disaster_ready,0.2069,0
6,Disaster,out_of_newlands_during_day,Out of Newlands during day,binary,Higher=Yes,0.1671,0.3607,place_out_of_newlands_disaster_ready,0.3607,0
6,Disaster,place_out_of_newlands_disaster_ready,Place out of Newlands disaster ready,binary,Higher=Yes,0.2541,0.3607,out_of_newlands_during_day,0.3607,0
